type,non-vacant energy (eV),initial energy (eV),saddle point (eV),final energy (eV),energy barrier (eV)
2,-8502.01543,-8495.7244,-8494.6156,-8495.714,1.1087999999999738
2,-8502.01543,-8495.7244,-8495.0145,-8495.7656,0.7098999999998341
1,-8502.01543,-8495.7244,-8494.7204,-8495.7514,1.003999999998996
2,-8502.01543,-8496.3853,-8495.2801,-8496.2986,1.105199999999968
2,-8502.01543,-8496.3853,-8495.1883,-8496.4341,1.1970000000001164
2,-8502.01543,-8496.3853,-8495.039,-8496.3534,1.3462999999992462
3,-8502.01543,-8496.3853,-8495.261,-8496.5791,1.1242999999994936
1,-8502.01543,-8496.3853,-8495.3921,-8496.398,0.9932000000007974
3,-8502.01543,-8496.3853,-8495.0601,-8496.5439,1.3251999999993131
2,-8502.01543,-8496.3853,-8495.3611,-8496.425,1.024199999999837
2,-8502.01543,-8496.3853,-8495.305,-8496.5182,1.0802999999996246
3,-8502.01543,-8496.3853,-8495.2697,-8496.5004,1.1155999999991764
1,-8502.01543,-8496.3853,-8495.1806,-8496.5255,1.20470000000023
3,-8502.01543,-8496.3853,-8495.1466,-8496.4835,1.2386999999998807
3,-8502.01543,-8496.3853,-8495.3223,-8496.5476,1.0630000000001019
3,-8502.01543,-8496.1854,-8495.0351,-8496.2567,1.1503000000011525
3,-8502.01543,-8496.1854,-8495.065,-8496.3988,1.1203999999997905
3,-8502.01543,-8496.1854,-8495.0708,-8496.4004,1.1146000000007916
2,-8502.01543,-8496.1854,-8495.1133,-8496.3104,1.0720999999994092
2,-8502.01543,-8496.1854,-8494.8581,-8496.3314,1.3273000000008324
3,-8502.01543,-8496.1854,-8494.82,-8496.1996,1.3654000000005908
2,-8502.01543,-8496.1854,-8494.83,-8496.2678,1.3554000000003725
3,-8502.01543,-8496.1854,-8494.9047,-8496.3619,1.2807000000011612
3,-8502.01543,-8496.1854,-8494.9073,-8496.4856,1.2780999999995402
2,-8502.01543,-8496.1854,-8495.3049,-8496.4752,0.8805000000011205
1,-8502.01543,-8496.1854,-8495.1617,-8496.3007,1.0236999999997352
3,-8502.01543,-8496.1854,-8495.0585,-8496.4562,1.1269000000011147
3,-8502.01543,-8496.2622,-8494.8679,-8496.3368,1.3942999999999302
3,-8502.01543,-8496.2622,-8495.1785,-8496.3599,1.0836999999992258
3,-8502.01543,-8496.2622,-8495.1521,-8496.4893,1.1100999999998749
2,-8502.01543,-8496.2622,-8495.396,-8496.6329,0.866199999998571
2,-8502.01543,-8496.2622,-8495.2015,-8496.5716,1.060699999999997
2,-8502.01543,-8496.2622,-8495.097,-8496.4104,1.1651999999994587
2,-8502.01543,-8496.2622,-8495.3219,-8496.6077,0.9402999999983876
1,-8502.01543,-8496.2622,-8495.3552,-8496.3357,0.9069999999992433
3,-8502.01543,-8496.2622,-8495.1278,-8496.4053,1.1343999999990046
2,-8502.01543,-8496.2622,-8495.0263,-8496.4199,1.235899999999674
2,-8502.01543,-8496.2622,-8495.0668,-8496.3988,1.195399999998699
3,-8502.01543,-8496.2622,-8495.1515,-8496.658,1.1106999999992695
3,-8502.01543,-8496.3309,-8495.2634,-8496.4292,1.0675000000010186
3,-8502.01543,-8496.3309,-8495.1099,-8496.413,1.2210000000013679
2,-8502.01543,-8496.3309,-8495.1496,-8496.3253,1.181300000000192
1,-8502.01543,-8496.3309,-8495.348,-8496.366,0.9829000000008818
3,-8502.01543,-8496.3309,-8494.8917,-8496.1784,1.4392000000007101
3,-8502.01543,-8496.3309,-8495.1879,-8496.27,1.143000000000029
3,-8502.01543,-8496.3309,-8495.3192,-8496.4774,1.0117000000009284
1,-8502.01543,-8496.3309,-8495.1516,-8496.302,1.1793000000016036
3,-8502.01543,-8496.3309,-8494.8756,-8496.2227,1.4553000000014435
2,-8502.01543,-8496.3309,-8495.0805,-8496.3959,1.250400000000809
1,-8502.01543,-8496.3309,-8495.3646,-8496.3134,0.9663000000000466
3,-8502.01543,-8496.3309,-8495.1881,-8496.4859,1.1428000000014435
2,-8502.01543,-8495.5828,-8494.2068,-8495.5022,1.3760000000002037
2,-8502.01543,-8495.5828,-8494.0764,-8495.444,1.5064000000002125
3,-8502.01543,-8495.5828,-8494.4785,-8495.4276,1.104300000000876
3,-8502.01543,-8495.5828,-8494.466,-8495.5074,1.1167999999997846
1,-8502.01543,-8495.5828,-8494.4892,-8495.5475,1.0936000000001513
1,-8502.01543,-8495.5828,-8494.8744,-8495.6774,0.7083999999995285
2,-8502.01543,-8495.5828,-8494.3088,-8495.5617,1.2739999999994325
3,-8502.01543,-8495.5828,-8494.2868,-8495.3139,1.2960000000002765
2,-8502.01543,-8495.5828,-8494.4627,-8495.4297,1.1201000000000931
3,-8502.01543,-8495.5828,-8494.309,-8495.4427,1.273800000000847
1,-8502.01543,-8495.5828,-8494.6355,-8495.5657,0.9472999999998137
1,-8502.01543,-8495.5828,-8494.4761,-8495.5078,1.1067000000002736
1,-8502.01543,-8495.5323,-8494.3989,-8495.4586,1.13340000000062
2,-8502.01543,-8495.5323,-8494.4652,-8495.5418,1.0671000000002095
3,-8502.01543,-8495.5323,-8494.475,-8495.698,1.0573000000003958
3,-8502.01543,-8495.5323,-8493.8331,-8495.2094,1.6992000000009284
3,-8502.01543,-8495.5323,-8494.2958,-8495.6648,1.2365000000008877
3,-8502.01543,-8495.5323,-8494.398,-8495.5212,1.1343000000015309
3,-8502.01543,-8495.5323,-8494.3814,-8495.5853,1.1509000000005472
3,-8502.01543,-8495.5323,-8494.5069,-8495.6104,1.0254000000004453
1,-8502.01543,-8495.5323,-8494.535,-8495.543,0.9973000000009051
3,-8502.01543,-8495.5323,-8494.3104,-8495.668,1.2219000000004598
1,-8502.01543,-8495.5323,-8494.2944,-8495.5711,1.2379000000000815
1,-8502.01543,-8495.5323,-8494.5058,-8495.5211,1.0264999999999418
3,-8502.01543,-8495.5276,-8494.4324,-8495.5392,1.0951999999997497
2,-8502.01543,-8495.5276,-8494.0774,-8495.3995,1.4501999999993131
2,-8502.01543,-8495.5276,-8494.2792,-8495.3844,1.2483999999985826
3,-8502.01543,-8495.5276,-8494.4729,-8495.6179,1.0546999999987747
3,-8502.01543,-8495.5276,-8494.3053,-8495.4472,1.22229999999945
1,-8502.01543,-8495.5276,-8494.592,-8495.5823,0.9355999999988853
2,-8502.01543,-8495.5276,-8494.348,-8495.6951,1.179599999999482
2,-8502.01543,-8495.5276,-8494.3228,-8495.4125,1.2047999999995227
3,-8502.01543,-8495.5276,-8494.3479,-8495.6363,1.1796999999987747
1,-8502.01543,-8495.5276,-8494.561,-8495.5174,0.9665999999997439
1,-8502.01543,-8495.5276,-8494.4162,-8495.5557,1.111399999999776
1,-8502.01543,-8495.5276,-8494.3529,-8495.5263,1.174699999999575
1,-8502.01543,-8495.7542,-8494.5546,-8495.6584,1.1995999999999185
3,-8502.01543,-8495.7542,-8494.5582,-8495.6076,1.1959999999999127
3,-8502.01543,-8495.7542,-8494.4675,-8495.6123,1.2866999999987456
1,-8502.01543,-8495.7542,-8494.4502,-8495.5537,1.3040000000000873
1,-8502.01543,-8495.7542,-8494.86,-8495.667,0.8941999999988184
1,-8502.01543,-8495.7542,-8494.6609,-8495.555,1.093299999998635
2,-8502.01543,-8495.7542,-8494.6408,-8495.4484,1.1134000000001834
3,-8502.01543,-8495.7542,-8494.311,-8495.4847,1.443199999999706
1,-8502.01543,-8495.7542,-8494.8153,-8495.527,0.9388999999991938
1,-8502.01543,-8495.7542,-8494.6237,-8495.5756,1.1304999999993015
1,-8502.01543,-8495.7542,-8494.7934,-8495.6769,0.9607999999989261
3,-8502.01543,-8495.7542,-8494.5067,-8495.7125,1.2474999999994907
1,-8502.01543,-8496.4598,-8495.282,-8496.3555,1.177800000001298
2,-8502.01543,-8496.4598,-8495.2714,-8496.4534,1.188400000000911
2,-8502.01543,-8496.4598,-8495.1725,-8496.3418,1.2872999999999593
2,-8502.01543,-8496.4598,-8495.2454,-8496.5292,1.2144000000007509
3,-8502.01543,-8496.4598,-8495.47,-8496.3518,0.9898000000011962
1,-8502.01543,-8496.4598,-8495.3246,-8496.3878,1.1352000000006228
3,-8502.01543,-8496.4598,-8495.6889,-8496.4716,0.7709000000013475
2,-8502.01543,-8496.4598,-8495.2841,-8496.4895,1.1756999999997788
1,-8502.01543,-8496.4598,-8495.3118,-8496.2943,1.1480000000010477
3,-8502.01543,-8496.4598,-8495.4134,-8496.4294,1.0464000000010856
2,-8502.01543,-8496.4598,-8495.1917,-8496.2159,1.2681000000011409
1,-8502.01543,-8496.4598,-8495.4244,-8496.3852,1.0354000000006636
1,-8502.01543,-8496.4015,-8495.4893,-8496.5124,0.9122000000006665
2,-8502.01543,-8496.4015,-8495.5034,-8496.4535,0.8981000000003405
3,-8502.01543,-8496.4015,-8495.2088,-8496.4503,1.1926999999996042
2,-8502.01543,-8496.4015,-8495.0616,-8496.4848,1.3398999999990338
2,-8502.01543,-8496.4015,-8495.4933,-8496.3795,0.9081999999998516
3,-8502.01543,-8496.4015,-8495.3413,-8496.3706,1.0601999999998952
1,-8502.01543,-8496.4015,-8495.3824,-8496.4374,1.0190999999995256
3,-8502.01543,-8496.4015,-8495.2671,-8496.3505,1.1344000000008236
3,-8502.01543,-8496.4015,-8495.1612,-8496.2791,1.240299999999479
1,-8502.01543,-8496.4015,-8495.3862,-8496.4331,1.0152999999991152
2,-8502.01543,-8496.4015,-8495.3489,-8496.67,1.0525999999990745
3,-8502.01543,-8496.4015,-8494.9677,-8496.342,1.4338000000007014
3,-8502.01543,-8496.264,-8495.1093,-8496.3891,1.1546999999991385
1,-8502.01543,-8496.264,-8495.2459,-8496.3162,1.0180999999993219
2,-8502.01543,-8496.264,-8495.24,-8496.4417,1.0239999999994325
1,-8502.01543,-8496.264,-8495.0788,-8496.2682,1.1851999999998952
2,-8502.01543,-8496.264,-8495.097,-8496.396,1.1669999999994616
3,-8502.01543,-8496.264,-8495.0088,-8496.2658,1.2551999999996042
3,-8502.01543,-8496.264,-8494.7824,-8496.3754,1.4815999999991618
3,-8502.01543,-8496.264,-8495.1805,-8496.3871,1.0834999999988213
3,-8502.01543,-8496.264,-8495.0036,-8496.1877,1.2603999999992084
3,-8502.01543,-8496.264,-8495.0174,-8496.2866,1.2465999999985797
3,-8502.01543,-8496.264,-8494.9994,-8496.3359,1.2645999999986088
3,-8502.01543,-8496.264,-8495.1833,-8496.3885,1.0806999999986147
2,-8502.01543,-8495.485,-8494.2429,-8495.5414,1.242100000001301
3,-8502.01543,-8495.485,-8494.2706,-8495.4108,1.2144000000007509
2,-8502.01543,-8495.485,-8494.4377,-8495.6256,1.0473000000001775
2,-8502.01543,-8495.485,-8494.3381,-8495.6554,1.1468999999997322
3,-8502.01543,-8495.485,-8494.3978,-8495.543,1.0871999999999389
2,-8502.01543,-8495.485,-8494.2081,-8495.465,1.2769000000007509
3,-8502.01543,-8495.485,-8494.4449,-8495.3465,1.040100000000166
2,-8502.01543,-8495.485,-8494.3409,-8495.485,1.1441000000013446
1,-8502.01543,-8495.485,-8494.3147,-8495.6724,1.17029999999977
1,-8502.01543,-8495.485,-8494.3203,-8495.5615,1.1647000000011758
3,-8502.01543,-8495.485,-8494.087,-8495.4938,1.3980000000010477
3,-8502.01543,-8495.485,-8494.3609,-8495.3814,1.124100000000908
2,-8502.01543,-8495.8428,-8494.646,-8495.7935,1.1967999999997119
1,-8502.01543,-8495.8428,-8494.8401,-8495.8593,1.0027000000009139
1,-8502.01543,-8495.8428,-8495.0702,-8495.8858,0.7726000000002387
1,-8502.01543,-8495.8428,-8494.5185,-8495.7266,1.3243000000002212
3,-8502.01543,-8495.8428,-8494.5744,-8495.8317,1.2684000000008382
2,-8502.01543,-8495.8428,-8494.5843,-8495.7211,1.2584999999999127
1,-8502.01543,-8495.8428,-8494.5857,-8495.6365,1.2571000000007189
3,-8502.01543,-8495.8428,-8494.4329,-8495.8542,1.4099000000005617
1,-8502.01543,-8495.8428,-8494.7444,-8495.6778,1.0984000000007654
2,-8502.01543,-8495.8428,-8494.7899,-8495.7453,1.0529000000005908
3,-8502.01543,-8495.8428,-8494.5635,-8495.6578,1.2793000000001484
3,-8502.01543,-8495.8428,-8494.5015,-8495.73,1.3413000000000466
1,-8502.01543,-8496.417,-8495.5469,-8496.4943,0.8701000000000931
2,-8502.01543,-8496.417,-8495.1323,-8496.3142,1.2847000000001572
2,-8502.01543,-8496.417,-8495.2991,-8496.4773,1.1178999999992811
1,-8502.01543,-8496.417,-8495.6075,-8496.5748,0.8094999999993888
3,-8502.01543,-8496.417,-8494.9021,-8496.1598,1.5149000000001251
1,-8502.01543,-8496.417,-8495.4999,-8496.5456,0.9170999999987544
3,-8502.01543,-8496.417,-8495.1031,-8496.2201,1.3138999999991938
3,-8502.01543,-8496.417,-8495.1543,-8496.1151,1.2626999999993131
3,-8502.01543,-8496.417,-8495.3468,-8496.3868,1.0702000000001135
3,-8502.01543,-8496.417,-8495.1078,-8496.5362,1.3091999999996915
1,-8502.01543,-8496.417,-8495.4073,-8496.3386,1.009699999998702
2,-8502.01543,-8496.417,-8495.3362,-8496.445,1.0807999999997264
2,-8502.01543,-8495.6379,-8494.3116,-8495.6758,1.3262999999988097
3,-8502.01543,-8495.6379,-8494.3685,-8495.7171,1.269399999999223
1,-8502.01543,-8495.6379,-8494.8557,-8495.7692,0.7821999999996478
3,-8502.01543,-8495.6379,-8494.3596,-8495.9638,1.2782999999999447
3,-8502.01543,-8495.6379,-8494.3828,-8495.6534,1.2551000000003114
3,-8502.01543,-8495.6379,-8494.3738,-8495.8059,1.264100000000326
3,-8502.01543,-8495.6379,-8494.5192,-8495.6144,1.1186999999990803
1,-8502.01543,-8495.6379,-8494.8301,-8495.8274,0.8078000000004977
3,-8502.01543,-8495.6379,-8494.7216,-8495.981,0.9162999999989552
3,-8502.01543,-8495.6379,-8494.4839,-8495.6732,1.154000000000451
1,-8502.01543,-8495.6379,-8494.3816,-8495.6566,1.2562999999991007
3,-8502.01543,-8495.6379,-8494.4342,-8495.8309,1.2037000000000262
3,-8502.01543,-8496.3408,-8495.2139,-8496.2041,1.1268999999992957
2,-8502.01543,-8496.3408,-8494.9604,-8496.3321,1.3804000000000087
3,-8502.01543,-8496.3408,-8495.2052,-8496.4014,1.135599999999613
2,-8502.01543,-8496.3408,-8495.1351,-8496.3782,1.2057000000004336
3,-8502.01543,-8496.3408,-8495.3062,-8496.348,1.0345999999990454
3,-8502.01543,-8496.3408,-8495.0714,-8496.3534,1.269399999999223
1,-8502.01543,-8496.3408,-8495.2935,-8496.5289,1.0473000000001775
3,-8502.01543,-8496.3408,-8495.5026,-8496.5429,0.8382000000001426
3,-8502.01543,-8496.3408,-8495.0443,-8496.2975,1.2965000000003783
2,-8502.01543,-8496.3408,-8494.8112,-8496.1483,1.5295999999998457
1,-8502.01543,-8496.3408,-8495.0909,-8496.3447,1.2499000000007072
1,-8502.01543,-8496.3408,-8495.2655,-8496.3733,1.075300000000425
3,-8502.01543,-8495.4333,-8494.447,-8495.523,0.9863000000004831
1,-8502.01543,-8495.4333,-8494.2041,-8495.3835,1.2291999999997643
2,-8502.01543,-8495.4333,-8493.9467,-8495.4643,1.4866000000001804
3,-8502.01543,-8495.4333,-8494.3266,-8495.6296,1.1067000000002736
3,-8502.01543,-8495.4333,-8494.2403,-8495.4845,1.1930000000011205
1,-8502.01543,-8495.4333,-8494.2387,-8495.3929,1.1946000000007189
3,-8502.01543,-8495.4333,-8494.2003,-8495.3758,1.2330000000001746
1,-8502.01543,-8495.4333,-8494.3518,-8495.5859,1.0815000000002328
3,-8502.01543,-8495.4333,-8494.4395,-8495.4118,0.9938000000001921
2,-8502.01543,-8495.4333,-8494.5537,-8495.7208,0.8796000000002095
1,-8502.01543,-8495.4333,-8494.4654,-8495.3663,0.9679000000014639
3,-8502.01543,-8495.4333,-8494.3879,-8495.4681,1.0454000000008818
1,-8502.01543,-8495.7105,-8494.469,-8495.6802,1.2415000000000873
3,-8502.01543,-8495.7105,-8494.5081,-8495.7423,1.2024000000001251
3,-8502.01543,-8495.7105,-8494.6942,-8495.7356,1.016299999999319
1,-8502.01543,-8495.7105,-8494.4406,-8495.6942,1.2698999999993248
3,-8502.01543,-8495.7105,-8494.4108,-8495.6863,1.299699999999575
2,-8502.01543,-8495.7105,-8494.4355,-8495.665,1.2749999999996362
1,-8502.01543,-8495.7105,-8494.8198,-8495.7116,0.8906999999999243
1,-8502.01543,-8495.7105,-8494.8016,-8495.8428,0.908899999998539
2,-8502.01543,-8495.7105,-8494.6057,-8495.7315,1.104799999999159
3,-8502.01543,-8495.7105,-8494.2598,-8495.5394,1.450699999999415
2,-8502.01543,-8495.7105,-8494.5741,-8495.5817,1.136399999999412
3,-8502.01543,-8495.7105,-8494.3323,-8495.7039,1.3781999999991967
2,-8502.01543,-8495.4734,-8494.5193,-8495.6144,0.9541000000008353
1,-8502.01543,-8495.4734,-8494.3346,-8495.4828,1.1388000000006286
2,-8502.01543,-8495.4734,-8494.3846,-8495.5788,1.0888000000013562
2,-8502.01543,-8495.4734,-8494.5498,-8495.6661,0.9236000000000786
2,-8502.01543,-8495.4734,-8494.6149,-8495.5783,0.8585000000002765
3,-8502.01543,-8495.4734,-8494.1062,-8495.3862,1.3672000000005937
3,-8502.01543,-8495.4734,-8494.4952,-8495.6288,0.9782000000013795
1,-8502.01543,-8495.4734,-8494.34,-8495.4556,1.13340000000062
1,-8502.01543,-8495.4734,-8494.4655,-8495.4829,1.007900000000518
2,-8502.01543,-8495.4734,-8494.5191,-8495.6174,0.9543000000012398
3,-8502.01543,-8495.4734,-8494.1406,-8495.5209,1.3328000000001339
2,-8502.01543,-8495.4734,-8494.1534,-8495.48,1.320000000001528
1,-8502.01543,-8496.417,-8495.5469,-8496.4943,0.8701000000000931
2,-8502.01543,-8496.417,-8495.1323,-8496.3142,1.2847000000001572
2,-8502.01543,-8496.417,-8495.2991,-8496.4773,1.1178999999992811
1,-8502.01543,-8496.417,-8495.6075,-8496.5748,0.8094999999993888
3,-8502.01543,-8496.417,-8494.9021,-8496.1598,1.5149000000001251
1,-8502.01543,-8496.417,-8495.4999,-8496.5456,0.9170999999987544
3,-8502.01543,-8496.417,-8495.1031,-8496.2201,1.3138999999991938
3,-8502.01543,-8496.417,-8495.1543,-8496.1151,1.2626999999993131
3,-8502.01543,-8496.417,-8495.3468,-8496.3868,1.0702000000001135
3,-8502.01543,-8496.417,-8495.1078,-8496.5362,1.3091999999996915
1,-8502.01543,-8496.417,-8495.4073,-8496.3386,1.009699999998702
2,-8502.01543,-8496.417,-8495.3362,-8496.445,1.0807999999997264
